dt,rec_num,user_num,avg,
201601,198004044,7554856,26.20884422,26.2
201602,185363787,7513644,24.67029141,24.7
201603,176818414,7504666,23.56113037,23.6
201604,197940352,7533800,26.27364039,26.3
201605,204885097,7506931,27.29279076,27.3
201606,211111025,7491879,28.17864851,28.2
201607,202663911,7264207,27.89897245,27.9
201608,198947456,7082286,28.09085315,28.1
201609,187372182,6710503,27.9222261,27.9
201610,184305911,6564496,28.07617081,28.1
201611,193997449,6373664,30.43735111,30.4
201612,189748042,6172106,30.74283591,30.7
201701,191864987,5956570,32.21064925,32.2
201702,170816354,5789731,29.50333167,29.5
201703,174289564,5397956,32.28806682,32.3
201704,197951857,4875365,40.60246915,40.6
201705,192834338,4306634,44.77611471,44.8
201706,170121641,3598003,47.2822399,47.3
201707,94646598,2448388,38.65669902,38.7