fin_app_num,user_num,user_loan_num,loan_rate,reloan_rate,num1,p1,num2,p2,,loan_rate,reloan_rate
0,704267,79186,0.11243747,0.340224282,52245,0.074183513,26941,0.038253958,,0.11243747,0.340224282
1,563240,1453,0.002579717,0.284927736,1039,0.001844684,414,0.000735033,,0.002579717,0.284927736
2,1262674,5240,0.004149923,0.234351145,4012,0.003177384,1228,0.000972539,,0.004149923,0.234351145
3,1205302,7608,0.006312111,0.213459516,5984,0.004964731,1624,0.00134738,,0.006312111,0.213459516
4,1024885,10172,0.009925016,0.212740857,8008,0.00781356,2164,0.002111456,,0.009925016,0.212740857
5,842634,12203,0.01448197,0.215274932,9576,0.011364365,2627,0.003117605,,0.01448197,0.215274932
6,689750,13841,0.020066691,0.217253089,10834,0.01570714,3007,0.004359551,,0.020066691,0.217253089
7,567048,14945,0.026355794,0.231247909,11489,0.020261071,3456,0.006094722,,0.026355794,0.231247909
8,471357,15604,0.03310442,0.233914381,11954,0.02536082,3650,0.0077436,,0.03310442,0.233914381
9,393815,15675,0.039802953,0.254354067,11688,0.02967891,3987,0.010124043,,0.039802953,0.254354067
10,333023,15740,0.047264003,0.260673443,11637,0.034943532,4103,0.01232047,,0.047264003,0.260673443
11,283019,15533,0.054883241,0.26479109,11420,0.040350648,4113,0.014532593,,0.054883241,0.26479109
12,242535,14901,0.061438555,0.272867593,10835,0.044673965,4066,0.016764591,,0.061438555,0.272867593
13,209786,14257,0.06795973,0.283299432,10218,0.048706777,4039,0.019252953,,0.06795973,0.283299432
14,181792,13290,0.073105527,0.284499624,9509,0.052307032,3781,0.020798495,,0.073105527,0.284499624
15,160269,12428,0.077544628,0.294657226,8766,0.054695543,3662,0.022849085,,0.077544628,0.294657226
16,141287,11894,0.084183258,0.303178073,8288,0.05866074,3606,0.025522518,,0.084183258,0.303178073
17,124311,10903,0.087707443,0.298908557,7644,0.061490938,3259,0.026216505,,0.087707443,0.298908557
18,110440,9992,0.090474466,0.308847078,6906,0.062531691,3086,0.027942774,,0.090474466,0.308847078
19,98673,9337,0.094625683,0.311341973,6430,0.065164736,2907,0.029460947,,0.094625683,0.311341973
20,88384,8610,0.097415822,0.316144019,5888,0.066618392,2722,0.030797429,,0.097415822,0.316144019
21,79021,7953,0.100644133,0.316484346,5436,0.06879184,2517,0.031852292,,0.100644133,0.316484346
22,70976,7369,0.103823828,0.315510924,5044,0.071066276,2325,0.032757552,,0.103823828,0.315510924
23,64968,6769,0.104189755,0.326192938,4561,0.070203793,2208,0.033985962,,0.104189755,0.326192938
24,58298,6243,0.107087722,0.320198622,4244,0.072798381,1999,0.034289341,,0.107087722,0.320198622
25,52871,5622,0.106334285,0.323194593,3805,0.071967619,1817,0.034366666,,0.106334285,0.323194593
26,48393,5188,0.107205588,0.31919815,3532,0.072985762,1656,0.034219825,,0.107205588,0.31919815
27,43878,4839,0.110283058,0.316800992,3306,0.075345276,1533,0.034937782,,0.110283058,0.316800992
28,39774,4413,0.110951878,0.317471108,3012,0.075727862,1401,0.035224016,,0.110951878,0.317471108
29,36698,4117,0.11218595,0.323779451,2784,0.075862445,1333,0.036323505,,0.11218595,0.323779451
30,33633,3889,0.115630482,0.327847776,2614,0.077721286,1275,0.037909196,,0.115630482,0.327847776
31,30687,3473,0.11317496,0.311258278,2392,0.077948317,1081,0.035226643,,0.11317496,0.311258278
32,28285,3234,0.114336221,0.323438466,2188,0.077355489,1046,0.036980732,,0.114336221,0.323438466
33,26090,2908,0.11146033,0.318088033,1983,0.076006133,925,0.035454197,,0.11146033,0.318088033
34,24089,2688,0.111586201,0.324032738,1817,0.075428619,871,0.036157582,,0.111586201,0.324032738
35,22157,2537,0.114501061,0.32400473,1715,0.077402175,822,0.037098885,,0.114501061,0.32400473
36,20403,2286,0.112042347,0.314523185,1567,0.076802431,719,0.035239916,,0.112042347,0.314523185
37,18520,2168,0.117062635,0.312730627,1490,0.080453564,678,0.036609071,,0.117062635,0.312730627
38,16920,1830,0.108156028,0.291803279,1296,0.076595745,534,0.031560284,,0.108156028,0.291803279
39,15699,1806,0.115039174,0.333887043,1203,0.076629085,603,0.03841009,,0.115039174,0.333887043
40,14696,1654,0.112547632,0.327690447,1112,0.075666848,542,0.036880784,,0.112547632,0.327690447
41,13470,1533,0.113808463,0.348988911,998,0.074090572,535,0.039717892,,0.113808463,0.348988911
42,12803,1403,0.109583691,0.336421953,931,0.072717332,472,0.036866359,,0.109583691,0.336421953
43,11906,1308,0.109860575,0.294342508,923,0.077523938,385,0.032336637,,0.109860575,0.294342508
44,10771,1142,0.106025439,0.296847636,803,0.074552038,339,0.031473401,,0.106025439,0.296847636
45,10122,1139,0.112527169,0.282704126,817,0.080715274,322,0.031811895,,0.112527169,0.282704126
46,9475,1008,0.106385224,0.318452381,687,0.072506596,321,0.033878628,,0.106385224,0.318452381
47,8816,937,0.106284029,0.281750267,673,0.076338475,264,0.029945554,,0.106284029,0.281750267
48,8065,874,0.108369498,0.28375286,626,0.077619343,248,0.030750155,,0.108369498,0.28375286
49,7839,879,0.112131649,0.311717861,605,0.077178212,274,0.034953438,,0.112131649,0.311717861
50,7234,827,0.114321261,0.330108827,554,0.076582803,273,0.037738457,,0.114321261,0.330108827
51,6588,713,0.10822708,0.3085554,493,0.07483303,220,0.03339405,,0.10822708,0.3085554
52,6194,672,0.108492089,0.282738095,482,0.077817242,190,0.030674847,,0.108492089,0.282738095
53,5800,612,0.105517241,0.294117647,432,0.074482759,180,0.031034483,,0.105517241,0.294117647
54,5555,619,0.111431143,0.31825525,422,0.075967597,197,0.035463546,,0.111431143,0.31825525
55,5114,567,0.110872116,0.282186949,407,0.079585452,160,0.031286664,,0.110872116,0.282186949
56,4786,495,0.103426661,0.290909091,351,0.073338905,144,0.030087756,,0.103426661,0.290909091
57,4626,505,0.109165586,0.302970297,352,0.076091656,153,0.03307393,,0.109165586,0.302970297
58,4312,408,0.094619666,0.31127451,281,0.065166976,127,0.02945269,,0.094619666,0.31127451
59,4019,412,0.102513063,0.235436893,315,0.078377706,97,0.024135357,,0.102513063,0.235436893
60,3774,375,0.09936407,0.301333333,262,0.069422364,113,0.029941706,,0.09936407,0.301333333
61,3661,362,0.098880087,0.298342541,254,0.069379951,108,0.029500137,,0.098880087,0.298342541
62,3538,364,0.102882985,0.285714286,260,0.073487846,104,0.029395138,,0.102882985,0.285714286
63,3162,303,0.095825427,0.316831683,207,0.065464896,96,0.030360531,,0.095825427,0.316831683
64,2987,311,0.104117844,0.279742765,224,0.07499163,87,0.029126214,,0.104117844,0.279742765
65,2960,294,0.099324324,0.30952381,203,0.068581081,91,0.030743243,,0.099324324,0.30952381
66,2825,268,0.094867257,0.186567164,218,0.077168142,50,0.017699115,,0.094867257,0.186567164
67,2751,272,0.098873137,0.341911765,179,0.065067248,93,0.033805889,,0.098873137,0.341911765
68,2619,278,0.106147384,0.298561151,195,0.074455899,83,0.031691485,,0.106147384,0.298561151
69,2327,240,0.103137086,0.291666667,170,0.073055436,70,0.03008165,,0.103137086,0.291666667
70,2260,218,0.096460177,0.233944954,167,0.073893805,51,0.022566372,,0.096460177,0.233944954
71,2059,197,0.095677513,0.335025381,131,0.063623118,66,0.032054395,,0.095677513,0.335025381
72,1995,173,0.086716792,0.242774566,131,0.06566416,42,0.021052632,,0.086716792,0.242774566
73,1864,155,0.083154506,0.264516129,114,0.061158798,41,0.021995708,,0.083154506,0.264516129
74,1873,180,0.096102509,0.283333333,129,0.068873465,51,0.027229044,,0.096102509,0.283333333
75,1749,160,0.091480846,0.26875,117,0.066895369,43,0.024585477,,0.091480846,0.26875
76,1724,166,0.096287703,0.28313253,119,0.069025522,47,0.027262181,,0.096287703,0.28313253
77,1588,149,0.093828715,0.322147651,101,0.063602015,48,0.0302267,,0.093828715,0.322147651
78,1608,148,0.092039801,0.256756757,110,0.06840796,38,0.023631841,,0.092039801,0.256756757
79,1441,109,0.075641915,0.220183486,85,0.058986815,24,0.016655101,,0.075641915,0.220183486
80,1422,156,0.109704641,0.288461538,111,0.078059072,45,0.03164557,,0.109704641,0.288461538
81,1345,116,0.086245353,0.267241379,85,0.063197026,31,0.023048327,,0.086245353,0.267241379
82,1312,119,0.09070122,0.285714286,85,0.064786585,34,0.025914634,,0.09070122,0.285714286
83,1162,110,0.094664372,0.309090909,76,0.065404475,34,0.029259897,,0.094664372,0.309090909
84,1198,105,0.087646077,0.323809524,71,0.059265442,34,0.028380634,,0.087646077,0.323809524
85,1121,116,0.103479037,0.275862069,84,0.074933095,32,0.028545941,,0.103479037,0.275862069
86,1052,83,0.078897338,0.180722892,68,0.064638783,15,0.014258555,,0.078897338,0.180722892
87,1028,90,0.087548638,0.266666667,66,0.064202335,24,0.023346304,,0.087548638,0.266666667
88,952,79,0.082983193,0.253164557,59,0.06197479,20,0.021008403,,0.082983193,0.253164557
89,978,80,0.081799591,0.3125,55,0.056237219,25,0.025562372,,0.081799591,0.3125
90,899,73,0.081201335,0.273972603,53,0.058954394,20,0.022246941,,0.081201335,0.273972603
91,870,78,0.089655172,0.166666667,65,0.074712644,13,0.014942529,,0.089655172,0.166666667
92,885,63,0.071186441,0.238095238,48,0.054237288,15,0.016949153,,0.071186441,0.238095238
93,877,82,0.09350057,0.317073171,56,0.063854048,26,0.029646522,,0.09350057,0.317073171
94,815,66,0.080981595,0.318181818,45,0.055214724,21,0.025766871,,0.080981595,0.318181818
95,747,59,0.078982597,0.237288136,45,0.060240964,14,0.018741633,,0.078982597,0.237288136
96,745,65,0.087248322,0.215384615,51,0.068456376,14,0.018791946,,0.087248322,0.215384615
97,684,43,0.062865497,0.23255814,33,0.048245614,10,0.014619883,,0.062865497,0.23255814
98,709,66,0.093088858,0.348484848,43,0.060648801,23,0.032440056,,0.093088858,0.348484848
99,686,48,0.069970845,0.333333333,32,0.04664723,16,0.023323615,,0.069970845,0.333333333
100,662,68,0.102719033,0.235294118,52,0.078549849,16,0.024169184,,0.102719033,0.235294118
101,597,66,0.110552764,0.333333333,44,0.073701843,22,0.036850921,,0.110552764,0.333333333
102,600,49,0.081666667,0.306122449,34,0.056666667,15,0.025,,0.081666667,0.306122449
103,603,41,0.067993367,0.195121951,33,0.054726368,8,0.013266998,,0.067993367,0.195121951
104,506,41,0.081027668,0.292682927,29,0.057312253,12,0.023715415,,0.081027668,0.292682927
105,526,35,0.066539924,0.171428571,29,0.05513308,6,0.011406844,,0.066539924,0.171428571
106,538,32,0.059479554,0.15625,27,0.050185874,5,0.00929368,,0.059479554,0.15625
107,476,46,0.096638655,0.173913043,38,0.079831933,8,0.016806723,,0.096638655,0.173913043
108,443,30,0.06772009,0.266666667,22,0.0496614,8,0.018058691,,0.06772009,0.266666667
109,428,43,0.10046729,0.302325581,30,0.070093458,13,0.030373832,,0.10046729,0.302325581
110,416,37,0.088942308,0.216216216,29,0.069711538,8,0.019230769,,0.088942308,0.216216216
111,416,45,0.108173077,0.155555556,38,0.091346154,7,0.016826923,,0.108173077,0.155555556
112,465,37,0.079569892,0.216216216,29,0.062365591,8,0.017204301,,0.079569892,0.216216216
113,401,36,0.089775561,0.25,27,0.067331671,9,0.02244389,,0.089775561,0.25
114,379,33,0.08707124,0.363636364,21,0.055408971,12,0.031662269,,0.08707124,0.363636364
115,412,39,0.094660194,0.102564103,35,0.084951456,4,0.009708738,,0.094660194,0.102564103
116,345,28,0.08115942,0.285714286,20,0.057971014,8,0.023188406,,0.08115942,0.285714286
117,363,17,0.046831956,0.176470588,14,0.038567493,3,0.008264463,,0.046831956,0.176470588
118,360,24,0.066666667,0.291666667,17,0.047222222,7,0.019444444,,0.066666667,0.291666667
119,343,29,0.084548105,0.379310345,18,0.052478134,11,0.032069971,,0.084548105,0.379310345
120,347,25,0.07204611,0.2,20,0.057636888,5,0.014409222,,0.07204611,0.2
121,325,20,0.061538462,0.4,12,0.036923077,8,0.024615385,,0.061538462,0.4
122,308,30,0.097402597,0.2,24,0.077922078,6,0.019480519,,0.097402597,0.2
123,314,28,0.089171975,0.392857143,17,0.054140127,11,0.035031847,,0.089171975,0.392857143
124,313,23,0.073482428,0.304347826,16,0.051118211,7,0.022364217,,0.073482428,0.304347826
125,284,17,0.059859155,0.235294118,13,0.045774648,4,0.014084507,,0.059859155,0.235294118
126,293,32,0.109215017,0.15625,27,0.092150171,5,0.017064846,,0.109215017,0.15625
127,254,21,0.082677165,0.238095238,16,0.062992126,5,0.019685039,,0.082677165,0.238095238
128,254,21,0.082677165,0,21,0.082677165,0,0,,0.082677165,0
129,303,30,0.099009901,0.233333333,23,0.075907591,7,0.02310231,,0.099009901,0.233333333
130,310,27,0.087096774,0.111111111,24,0.077419355,3,0.009677419,,0.087096774,0.111111111
131,271,33,0.121771218,0.272727273,24,0.088560886,9,0.033210332,,0.121771218,0.272727273
132,269,24,0.089219331,0.166666667,20,0.074349442,4,0.014869888,,0.089219331,0.166666667
133,248,24,0.096774194,0.208333333,19,0.076612903,5,0.02016129,,0.096774194,0.208333333
134,230,17,0.073913043,0.235294118,13,0.056521739,4,0.017391304,,0.073913043,0.235294118
135,218,18,0.082568807,0.111111111,16,0.073394495,2,0.009174312,,0.082568807,0.111111111
136,247,18,0.072874494,0.055555556,17,0.068825911,1,0.004048583,,0.072874494,0.055555556
137,188,16,0.085106383,0.25,12,0.063829787,4,0.021276596,,0.085106383,0.25
138,183,21,0.114754098,0.285714286,15,0.081967213,6,0.032786885,,0.114754098,0.285714286
139,188,11,0.058510638,0.181818182,9,0.04787234,2,0.010638298,,0.058510638,0.181818182
140,165,12,0.072727273,0.166666667,10,0.060606061,2,0.012121212,,0.072727273,0.166666667
141,151,11,0.072847682,0.181818182,9,0.059602649,2,0.013245033,,0.072847682,0.181818182
142,157,11,0.070063694,0.090909091,10,0.063694268,1,0.006369427,,0.070063694,0.090909091
143,136,7,0.051470588,0.428571429,4,0.029411765,3,0.022058824,,0.051470588,0.428571429
144,125,8,0.064,0.5,4,0.032,4,0.032,,0.064,0.5
145,143,10,0.06993007,0.2,8,0.055944056,2,0.013986014,,0.06993007,0.2
146,138,12,0.086956522,0.583333333,5,0.036231884,7,0.050724638,,0.086956522,0.583333333
147,155,15,0.096774194,0,15,0.096774194,0,0,,0.096774194,0
148,125,12,0.096,0.333333333,8,0.064,4,0.032,,0.096,0.333333333
149,112,8,0.071428571,0,8,0.071428571,0,0,,0.071428571,0
150,106,10,0.094339623,0.1,9,0.08490566,1,0.009433962,,0.094339623,0.1
151,110,5,0.045454545,0.2,4,0.036363636,1,0.009090909,,0.045454545,0.2
152,100,5,0.05,0.2,4,0.04,1,0.01,,0.05,0.2
153,84,8,0.095238095,0.5,4,0.047619048,4,0.047619048,,0.095238095,0.5
154,73,6,0.082191781,0.333333333,4,0.054794521,2,0.02739726,,0.082191781,0.333333333
155,90,6,0.066666667,0.166666667,5,0.055555556,1,0.011111111,,0.066666667,0.166666667
156,80,3,0.0375,0,3,0.0375,0,0,,0.0375,0
157,78,7,0.08974359,0.571428571,3,0.038461538,4,0.051282051,,0.08974359,0.571428571
158,71,6,0.084507042,0.666666667,2,0.028169014,4,0.056338028,,0.084507042,0.666666667
159,63,1,0.015873016,0,1,0.015873016,0,0,,0.015873016,0
160,72,6,0.083333333,0.166666667,5,0.069444444,1,0.013888889,,0.083333333,0.166666667
161,60,4,0.066666667,0,4,0.066666667,0,0,,0.066666667,0
162,49,5,0.102040816,0,5,0.102040816,0,0,,0.102040816,0
163,55,1,0.018181818,0,1,0.018181818,0,0,,0.018181818,0
164,63,5,0.079365079,0.2,4,0.063492063,1,0.015873016,,0.079365079,0.2
165,49,6,0.12244898,0.166666667,5,0.102040816,1,0.020408163,,0.12244898,0.166666667
166,47,2,0.042553191,0,2,0.042553191,0,0,,0.042553191,0
167,40,4,0.1,0,4,0.1,0,0,,0.1,0
168,56,2,0.035714286,0,2,0.035714286,0,0,,0.035714286,0
169,33,1,0.03030303,0,1,0.03030303,0,0,,0.03030303,0
170,37,0,0,nan,0,0,0,0,,0,nan
171,30,4,0.133333333,0,4,0.133333333,0,0,,0.133333333,0
172,45,3,0.066666667,0.333333333,2,0.044444444,1,0.022222222,,0.066666667,0.333333333
173,27,0,0,nan,0,0,0,0,,0,nan
174,33,1,0.03030303,1,0,0,1,0.03030303,,0.03030303,1
175,36,2,0.055555556,1,0,0,2,0.055555556,,0.055555556,1
176,33,1,0.03030303,0,1,0.03030303,0,0,,0.03030303,0
177,30,1,0.033333333,0,1,0.033333333,0,0,,0.033333333,0
178,19,1,0.052631579,1,0,0,1,0.052631579,,0.052631579,1
179,21,0,0,nan,0,0,0,0,,0,nan
180,26,1,0.038461538,0,1,0.038461538,0,0,,0.038461538,0
181,17,0,0,nan,0,0,0,0,,0,nan
182,21,0,0,nan,0,0,0,0,,0,nan
183,12,0,0,nan,0,0,0,0,,0,nan
184,19,0,0,nan,0,0,0,0,,0,nan
185,22,2,0.090909091,0,2,0.090909091,0,0,,0.090909091,0
186,14,3,0.214285714,0,3,0.214285714,0,0,,0.214285714,0
187,18,1,0.055555556,1,0,0,1,0.055555556,,0.055555556,1
188,12,0,0,nan,0,0,0,0,,0,nan
189,17,2,0.117647059,0,2,0.117647059,0,0,,0.117647059,0
190,11,0,0,nan,0,0,0,0,,0,nan
191,14,1,0.071428571,0,1,0.071428571,0,0,,0.071428571,0
192,7,1,0.142857143,0,1,0.142857143,0,0,,0.142857143,0
193,9,0,0,nan,0,0,0,0,,0,nan
194,4,0,0,nan,0,0,0,0,,0,nan
195,17,0,0,nan,0,0,0,0,,0,nan
196,14,1,0.071428571,0,1,0.071428571,0,0,,0.071428571,0
197,14,2,0.142857143,1,0,0,2,0.142857143,,0.142857143,1
198,7,1,0.142857143,1,0,0,1,0.142857143,,0.142857143,1
199,4,0,0,nan,0,0,0,0,,0,nan
200,13,0,0,nan,0,0,0,0,,0,nan
201,9,3,0.333333333,0.333333333,2,0.222222222,1,0.111111111,,0.333333333,0.333333333
202,8,1,0.125,0,1,0.125,0,0,,0.125,0
203,10,1,0.1,1,0,0,1,0.1,,0.1,1
204,11,1,0.090909091,0,1,0.090909091,0,0,,0.090909091,0
205,9,0,0,nan,0,0,0,0,,0,nan
206,4,0,0,nan,0,0,0,0,,0,nan
207,6,1,0.166666667,0,1,0.166666667,0,0,,0.166666667,0
208,8,0,0,nan,0,0,0,0,,0,nan
209,8,1,0.125,0,1,0.125,0,0,,0.125,0
210,9,0,0,nan,0,0,0,0,,0,nan
211,7,0,0,nan,0,0,0,0,,0,nan
212,7,0,0,nan,0,0,0,0,,0,nan
213,8,0,0,nan,0,0,0,0,,0,nan
214,3,1,0.333333333,1,0,0,1,0.333333333,,0.333333333,1
215,5,0,0,nan,0,0,0,0,,0,nan
216,2,0,0,nan,0,0,0,0,,0,nan
217,6,1,0.166666667,0,1,0.166666667,0,0,,0.166666667,0
218,4,0,0,nan,0,0,0,0,,0,nan
219,3,0,0,nan,0,0,0,0,,0,nan
220,8,0,0,nan,0,0,0,0,,0,nan
221,5,0,0,nan,0,0,0,0,,0,nan
222,1,0,0,nan,0,0,0,0,,0,nan
223,5,0,0,nan,0,0,0,0,,0,nan
224,4,1,0.25,1,0,0,1,0.25,,0.25,1
225,8,0,0,nan,0,0,0,0,,0,nan
226,5,1,0.2,0,1,0.2,0,0,,0.2,0
227,2,0,0,nan,0,0,0,0,,0,nan
228,2,0,0,nan,0,0,0,0,,0,nan
229,1,0,0,nan,0,0,0,0,,0,nan
230,1,0,0,nan,0,0,0,0,,0,nan
231,3,0,0,nan,0,0,0,0,,0,nan
232,4,0,0,nan,0,0,0,0,,0,nan
233,1,0,0,nan,0,0,0,0,,0,nan
234,4,0,0,nan,0,0,0,0,,0,nan
235,1,0,0,nan,0,0,0,0,,0,nan
236,1,0,0,nan,0,0,0,0,,0,nan
237,3,0,0,nan,0,0,0,0,,0,nan
238,2,1,0.5,0,1,0.5,0,0,,0.5,0
239,1,0,0,nan,0,0,0,0,,0,nan
240,1,0,0,nan,0,0,0,0,,0,nan
241,1,0,0,nan,0,0,0,0,,0,nan
242,5,0,0,nan,0,0,0,0,,0,nan
243,4,0,0,nan,0,0,0,0,,0,nan
244,3,0,0,nan,0,0,0,0,,0,nan
246,1,0,0,nan,0,0,0,0,,0,nan
247,1,1,1,0,1,1,0,0,,1,0
248,1,0,0,nan,0,0,0,0,,0,nan
250,1,0,0,nan,0,0,0,0,,0,nan
253,1,0,0,nan,0,0,0,0,,0,nan
254,2,0,0,nan,0,0,0,0,,0,nan
256,2,0,0,nan,0,0,0,0,,0,nan
257,1,0,0,nan,0,0,0,0,,0,nan
258,1,0,0,nan,0,0,0,0,,0,nan
261,1,0,0,nan,0,0,0,0,,0,nan
262,1,0,0,nan,0,0,0,0,,0,nan
263,3,0,0,nan,0,0,0,0,,0,nan
264,3,0,0,nan,0,0,0,0,,0,nan
265,1,0,0,nan,0,0,0,0,,0,nan
267,2,0,0,nan,0,0,0,0,,0,nan
270,1,0,0,nan,0,0,0,0,,0,nan
273,1,0,0,nan,0,0,0,0,,0,nan
275,2,0,0,nan,0,0,0,0,,0,nan
277,1,0,0,nan,0,0,0,0,,0,nan
282,1,0,0,nan,0,0,0,0,,0,nan
285,1,0,0,nan,0,0,0,0,,0,nan
288,1,0,0,nan,0,0,0,0,,0,nan
292,1,0,0,nan,0,0,0,0,,0,nan
297,1,0,0,nan,0,0,0,0,,0,nan
305,2,0,0,nan,0,0,0,0,,0,nan
308,1,0,0,nan,0,0,0,0,,0,nan
317,1,0,0,nan,0,0,0,0,,0,nan
322,1,0,0,nan,0,0,0,0,,0,nan
326,1,0,0,nan,0,0,0,0,,0,nan
350,1,0,0,nan,0,0,0,0,,0,nan
355,1,0,0,nan,0,0,0,0,,0,nan
386,1,0,0,nan,0,0,0,0,,0,nan